

White Brain
{::::A:PP:P:A:A::}: x 2, y 1, X 3, Y 2, V 3, u 1
{::::P:A.:P.:::P:}: x 1, y 2, X 1, Y 3, V 3, u 1
{::::PAP...:P:::A}: x 2, y 1, X 2, Y 2, V 3, u 1
{::::PAP.:..P:::A}: x 2, y 1, X 2, Y 2, V -9223372036854775808, u 1
{::::PAP.:..P:::A}: x 0, y 1, X 0, Y 2, V -9223372036854775808, u 1
{::::PAPA:A.:::P:}: x 0, y 1, X 0, Y 2, V 3, u 1
{::::PPP.::.A::P:}: x 1, y 1, X 1, Y 2, V 3, u 1
{:::A.AP::P.:::P:}: x 2, y 1, X 2, Y 2, V 3, u 1
{:::A:.P:P:A.:A::}: x 0, y 2, X 1, Y 3, V 2, u 1
{:::A:A.A::P::P::}: x 2, y 2, X 2, Y 3, V -9223372036854775808, u 1
{:::A:AP:PA.:::P:}: x 2, y 1, X 1, Y 2, V 3, u 1
{:::AAP.:.PP:::P:}: x 1, y 2, X 1, Y 3, V 4, u 1
{:::AAPP::P.:::P:}: x 1, y 2, X 1, Y 3, V 12, u 3
{:::AP.::.A.P:A::}: x 0, y 1, X 1, Y 2, V 2, u 1
{:::AP.P:.P.AAA::}: x 2, y 1, X 3, Y 2, V 2, u 1
{:::APA.::AP:::P:}: x 0, y 1, X 1, Y 2, V 3, u 1
{:::APA::P::A::P:}: x 0, y 2, X 0, Y 3, V -9223372036854775808, u 1
{:::APPP:.:.:::P:}: x 1, y 1, X 1, Y 2, V 4, u 1
{:::P.PA.:.:.::AA}: x 3, y 0, X 3, Y 2, V -9223372036854775808, u 1
{:::P:.AAAP:.::::}: x 1, y 2, X 1, Y 3, V -9223372036854775808, u 1
{:::P:.AAP:A.:A::}: x 3, y 0, X 2, Y 1, V 2, u 1
{:::PP.AA.P:.:A::}: x 0, y 1, X 0, Y 2, V -9223372036854775808, u 1
{:::PP.PA.AA.:A::}: x 0, y 1, X 0, Y 2, V 2, u 1
{::A:...:A:APP:::}: x 3, y 2, X 3, Y 3, V -9223372036854775808, u 1
{::A:.:..PA.A::P:}: x 0, y 2, X 0, Y 3, V -9223372036854775808, u 47
{::A:.:..PP.AA:P:}: x 1, y 2, X 1, Y 3, V -9223372036854775808, u 1
{::A:.:.APA.:::P:}: x 0, y 2, X 0, Y 3, V -9223372036854775808, u 1
{::A:.::.:P:A:::A}: x 1, y 2, X 1, Y 3, V -9223372036854775808, u 1
{::A:.P..P:.AA:P:}: x 1, y 1, X 1, Y 2, V -9223372036854775808, u 47
{::A:.P:.:.:P::AA}: x 1, y 1, X 1, Y 2, V -9223372036854775808, u 1
{::A:::.APA.:::P:}: x 0, y 2, X 0, Y 3, V -9223372036854775808, u 1
{::A::P.AP:.:A:P:}: x 1, y 1, X 1, Y 2, V -9223372036854775808, u 1
{::A:P.::APP.:A::}: x 2, y 2, X 2, Y 3, V 3, u 1
{::A:P::.::.::PP:}: x 0, y 1, X 0, Y 2, V 3, u 1
{::A:PP:AA:.:::P:}: x 1, y 1, X 0, Y 2, V 3, u 1
{::AA.:.:PP.:A:P:}: x 1, y 2, X 0, Y 3, V 3, u 1
{::AAP:::P:.:::P:}: x 0, y 2, X 0, Y 3, V 3, u 1
{::AP...:P:A.PA::}: x 3, y 0, X 3, Y 2, V -9223372036854775808, u 1
{::P:.:.PAP:A:A::}: x 2, y 0, X 2, Y 1, V 3, u 1
{::P:.P.PA.:.:A:A}: x 1, y 1, X 1, Y 2, V 3, u 1
{::P::A..:PAP:::A}: x 1, y 2, X 1, Y 3, V -9223372036854775808, u 1
{::P:APA..P:P:::A}: x 1, y 2, X 1, Y 3, V 4, u 1
{::P:P.PAAP..:A::}: x 2, y 1, X 2, Y 2, V 3, u 1
{::P:PAP.A..P:::A}: x 2, y 0, X 1, Y 1, V -9223372036854775808, u 1
{::PA:..:PA.::A:A}: x 0, y 2, X 1, Y 3, V -9223372036854775808, u 1
{::PA:..A:A.::P::}: x 2, y 0, X 2, Y 2, V -9223372036854775808, u 1
{::PAP..:.P.:AA:A}: x 0, y 1, X 0, Y 2, V -9223372036854775808, u 1
{::PAP..:.P.:AA:A}: x 2, y 0, X 2, Y 1, V 2, u 1
{::PAPP.:AA.:::P:}: x 2, y 0, X 2, Y 2, V 3, u 1
{::PP...APPA.AA::}: x 1, y 2, X 0, Y 3, V -9223372036854775808, u 1
{:A::.:..PAA:::P:}: x 0, y 2, X 0, Y 3, V -9223372036854775808, u 1
{:A::.:..PAAP:::P}: x 0, y 2, X 0, Y 3, V -9223372036854775808, u 1
{:A::.::.PA.P:::A}: x 0, y 2, X 0, Y 3, V -9223372036854775808, u 1
{:A::.P:.P..PA::A}: x 1, y 1, X 1, Y 2, V -9223372036854775808, u 1
{:A:::::.P.AP::::}: x 3, y 2, X 3, Y 3, V -9223372036854775808, u 1
{:A:::::.P.AP::::}: x 0, y 2, X 0, Y 3, V -9223372036854775808, u 1
{:A:::::.PA:P:::A}: x 0, y 2, X 0, Y 3, V -9223372036854775808, u 1
{:A::::A.:.:PP:::}: x 3, y 2, X 3, Y 3, V -9223372036854775808, u 1
{:A::::A.P.:::::P}: x 0, y 2, X 0, Y 3, V -9223372036854775808, u 1
{:A::::P.P..P:::A}: x 2, y 1, X 2, Y 2, V -9223372036854775808, u 1
{:A:::P:.P.:PA::A}: x 1, y 1, X 1, Y 2, V -9223372036854775808, u 1
{:A::P::...PP:::A}: x 2, y 2, X 3, Y 3, V 3, u 1
{:A::P::.:.PP:::A}: x 0, y 1, X 0, Y 2, V -9223372036854775808, u 1
{:A:A.::::PP:::P:}: x 1, y 2, X 1, Y 3, V 3, u 1
{:A:A::.::PP:::P:}: x 1, y 2, X 1, Y 3, V 3, u 1
{:A:A::::PP.:::P:}: x 0, y 2, X 0, Y 3, V 3, u 1
{:A:AP::::::AP:P:}: x 0, y 1, X 0, Y 2, V -9223372036854775808, u 1
{:A:P:.:.P.:.A:AA}: x 3, y 0, X 3, Y 1, V -9223372036854775808, u 1
{:A:PP::PA.P.::::}: x 2, y 2, X 2, Y 3, V 4, u 1
{:P::.A..::P:::PA}: x 2, y 2, X 3, Y 3, V 6, u 2
{:P::.A..P:PAA::A}: x 2, y 2, X 2, Y 3, V -9223372036854775808, u 1
{:P::.AP.::.:::PA}: x 2, y 1, X 2, Y 2, V -9223372036854775808, u 39547
{:P::.P.A.:P:A:P:}: x 1, y 1, X 1, Y 2, V 4, u 1
{:P::.PPAA:.:::P:}: x 1, y 1, X 1, Y 2, V 15, u 4
